Question,Answer
"Have you completed the following level of education: Bachelor's Degree?
Have you completed the following level of education: Bachelor's Degree?
Required
Yes
No",Yes
"Have you completed the following level of education: Master's Degree?
Have you completed the following level of education: Master's Degree?
Required
Yes
No",Yes
"Do you have a valid driver's license?
Do you have a valid driver's license?
Required
Yes
No",No
"Do you have the following license or certification: Google Cloud Certified Professional Cloud Architect?
Do you have the following license or certification: Google Cloud Certified Professional Cloud Architect?
Required
Yes
No
Please make a selection",No
"Do you have the following certification: Microsoft Certified: Azure AI Fundamentals?",Yes
"Do you have experience in Full Stack Development (e.g., React.js, Node.js, Django)?",Yes
"Do you have experience in Machine Learning (e.g., TensorFlow, PyTorch)?",Yes
"Do you have experience in containerization and orchestration (e.g., Docker, Kubernetes)?",Yes
"Do you have experience working with CI/CD pipelines?",Yes
"Do you have experience with cloud platforms like AWS, Azure, or GCP?",Yes
"Are you legally authorized to work in the United Kingdom?",Yes
"Do you require visa sponsorship to work in the United Kingdom?",No
"Are you comfortable working remotely?",Yes
"Are you comfortable commuting to this job's location?",Yes
"How many years of work experience do you have with Python?",4
"How many years of work experience do you have with AI/ML?",4
"How many years of work experience do you have with TensorFlow?",4
"How many years of work experience do you have with React.js?",4
"How many years of work experience do you have with Node.js?",4
"How many years of work experience do you have with Kubernetes?",4
"How many years of work experience do you have with Docker?",4
"How many years of work experience do you have with SQL databases?",4
"How many years of work experience do you have with NoSQL databases (e.g., MongoDB)?",4
"How many years of work experience do you have with APIs (e.g., REST, GraphQL)?",4
"Are you comfortable working with a team?",Yes
"Are you comfortable leading a team?",Yes
"Do you have experience with Agile or Scrum methodologies?",Yes
"Are you willing to travel for work if required?",Yes
"Will you now or in the future require sponsorship for employment visa status",No
